candidate_id,english,us_auth,license_three_years,dot_cert,clean_criminal_record,weight_acceptance,truck_xp,pkg_delv_xp,marijuana,start_timeframe,weekly_avalibility,clean_driving_record,resume_url,created_at,previous_xp_description,truck_xp_desc
120,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Tuesday, Wednesday, Thursday, Sunday, Monday",True,,1/8/2025 2:53:43,"Amazon driver for 3 months , I used to have 130-140 stops a day",
121,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Sunday, Friday",True,,1/8/2025 3:23:21,,Box truck experience
122,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/8/2025 3:28:17,"I delivered for amazon, I would on average everyday have up to 200 packages daily. I would deliver all sorts of packages varied from very small envelopes to very big boxes.",I have experience driving cdv van for amazon and extra large vans.
123,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/8/2025 3:37:26,,Company delivery vans and U-Haul trucks.
125,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/8/2025 5:07:20,120,All tipes of vehicles
126,True,True,True,False,False,True,False,True,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Thursday, Friday, Wednesday, Saturday, Sunday",True,,1/8/2025 5:26:41,DoorDash Delivery Driver,
127,True,True,True,False,False,True,False,True,Yes - I consume marijuana for medical reasons,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/8/2025 5:55:18,WAREHOUSE ONLY,
128,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Sunday",True,,1/8/2025 6:15:53,,U-Haul box truck
129,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/8/2025 6:55:33,It was a small business my stop was about 50 I delivered office supplies. I drove a box van.,"cars, vans, box trucks"
130,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Tuesday, Monday, Wednesday, Friday, Thursday, Saturday, Sunday",True,,1/8/2025 6:59:58,210 stops a day,"27ft, cargo vans edv"
131,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/8/2025 7:19:21,100 stops in a day i use my own car i work for ups as ssd …,I have class A license
132,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/8/2025 7:29:24,"frozen meat, i did that for 3 years, before that i was a truck driver for 30 years","school bus in 1991, class A big rig 53 foot trailer 1992-2020"
133,True,True,False,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/8/2025 7:44:20,Each day I have 15 stops I was doing uber eats and door dash,
